Symbol,P/E Ratio,EPS,Prev Close
IOSP,87.96,1.16,102.02999877929688
IPAR,115.31,1.21,139.52000427246094
IPGP,39.33,2.97,116.80000305175781
IRBT,7.47,6.0,44.775001525878906
IRMD,472.47,0.08,38.27000045776367
IROQ,8.51,1.88,15.963000297546387
IRWD,15.97,0.66,10.539999961853027
ISRG,25.1,9.72,243.97000122070312
ISSC,43.06,0.18,7.75
ISTR,8.91,1.74,15.470000267028809
ITI,17.84,0.259,4.619999885559082
ITIC,6.89,20.8,143.3000030517578
ITOS,34.79,0.4,13.880000114440918
ITRN,28.19,0.77,21.850000381469727
JACK,14.6,5.76,84.09500122070312
JAZZ,33.08,4.22,139.60000610351562
JBHT,33.12,5.13,169.9199981689453
JBSS,19.27,4.99,96.18000030517578
JCTCF,5.91,0.98,5.800000190734863
JD,8.04,4.89,39.3650016784668
JFIN,3.79,0.723,2.740000009536743
JJSF,1626.25,0.09,142.9250030517578
JKHY,38.93,3.88,150.97999572753906
JMSB,15.97,1.39,22.229999542236328
JOAN,1.05,1.998,2.0999999046325684
JOUT,8.95,6.78,60.72999954223633
JRSH,19.88,0.241,4.789999961853027
JRVR,135.0,0.16,21.329999923706055
JSM,15.28,,18.3799991607666
JVA,8.63,0.211,1.8200000524520874
JWEL,3.04,0.088,0.267300009727478
JYNT,18.74,0.9,16.8700008392334
JZXN,0.47,0.319,0.1500999927520752
KALU,251.73,0.27,66.95999908447266
KARO,24.89,0.92,22.899999618530273
KBAL,19.56,0.63,12.244999885559082
KDP,33.38,1.05,35.060001373291016
KE,15.62,1.45,22.594999313354492
KFRC,21.99,2.83,62.22999954223633
KHC,85.94,0.44,37.98500061035156
KINS,13.67,0.09,1.2300000190734863
KIRK,2.53,1.12,2.829200029373169
KLAC,32.19,11.91,383.3599853515625
KLIC,37.9,1.39,52.61000061035156
KMDA,11.46,0.38,4.355000019073486
KOSS,47.29,0.094,4.445000171661377
KRNY,12.82,0.7,9.010000228881836
KRT,14.39,0.93,13.3100004196167
KTCC,12.41,0.52,6.465000152587891
KTOS,19.64,0.67,13.199999809265137
LAKE,3.32,4.31,14.311800003051758
LAMR,40.29,2.39,96.22000122070312
LANC,41.24,4.87,200.82000732421875
LARK,5.14,4.1,21.09000015258789
LAZY,8.03,1.56,12.494999885559082
LBAI,12.49,1.34,16.729999542236328
